Wavelength	Red	Reflectance	LowCI	UpperCI
340	Painted	2.03037037	1.717709664	2.343031077
341	Painted	2.03	1.716678104	2.343321896
342	Painted	2.029876543	1.717525059	2.342228027
343	Painted	2.04691358	1.733648116	2.360179044
344	Painted	2.060987654	1.746825075	2.375150233
345	Painted	2.079074074	1.763352406	2.394795742
346	Painted	2.094320988	1.777438206	2.41120377
347	Painted	2.10345679	1.786126587	2.420786993
348	Painted	2.102962963	1.784918094	2.421007832
349	Painted	2.101851852	1.784304031	2.419399673
350	Painted	2.099753086	1.782345903	2.41716027
351	Painted	2.107530864	1.788839652	2.426222076
352	Painted	2.125555556	1.805762018	2.445349093
353	Painted	2.154938272	1.834366031	2.475510513
354	Painted	2.17617284	1.853550599	2.49879508
355	Painted	2.194938272	1.870997094	2.518879449
356	Painted	2.210925926	1.885237065	2.536614787
357	Painted	2.215802469	1.889340981	2.542263957
358	Painted	2.229259259	1.901783239	2.55673528
359	Painted	2.254567901	1.925156345	2.583979457
360	Painted	2.27962963	1.948100437	2.611158822
361	Painted	2.293950617	1.95963534	2.628265894
362	Painted	2.314444444	1.977594567	2.651294322
363	Painted	2.31037037	1.972986216	2.647754524
364	Painted	2.298765432	1.962319641	2.635211223
365	Painted	2.314444444	1.977999979	2.65088891
366	Painted	2.317037037	1.979769363	2.654304711
367	Painted	2.327962963	1.988973081	2.666952845
368	Painted	2.338518519	1.997874006	2.679163031
369	Painted	2.335925926	1.994730999	2.677120853
370	Painted	2.352345679	2.00932792	2.695363438
371	Painted	2.365	2.020835311	2.709164689
372	Painted	2.371975309	2.026781927	2.71716869
373	Painted	2.374197531	2.027020241	2.721374821
374	Painted	2.382345679	2.034104757	2.730586601
375	Painted	2.399074074	2.049199315	2.748948833
376	Painted	2.411975309	2.060236281	2.763714336
377	Painted	2.445679012	2.092459401	2.798898623
378	Painted	2.466666667	2.113249084	2.820084249
379	Painted	2.473518519	2.118893829	2.828143208
380	Painted	2.488148148	2.132611053	2.843685243
381	Painted	2.485679012	2.128343853	2.843014171
382	Painted	2.491604938	2.13176964	2.851440237
383	Painted	2.507962963	2.147083826	2.8688421
384	Painted	2.515555556	2.15352535	2.877585762
385	Painted	2.534567901	2.170824725	2.898311077
386	Painted	2.551358025	2.186423597	2.916292453
387	Painted	2.550740741	2.184930829	2.916550653
388	Painted	2.556419753	2.190841438	2.921998069
389	Painted	2.565432099	2.199763348	2.931100849
390	Painted	2.583703704	2.216701101	2.950706306
391	Painted	2.605925926	2.237625865	2.974225987
392	Painted	2.617160494	2.24690097	2.987420018
393	Painted	2.633580247	2.261438095	3.005722399
394	Painted	2.645061728	2.271969602	3.018153855
395	Painted	2.649074074	2.275431627	3.022716521
396	Painted	2.656049383	2.28250274	3.029596026
397	Painted	2.667777778	2.294472646	3.04108291
398	Painted	2.67	2.296244954	3.043755046
399	Painted	2.677037037	2.302358249	3.051715825
400	Painted	2.686049383	2.310864388	3.061234377
401	Painted	2.682716049	2.30726321	3.058168889
402	Painted	2.685802469	2.309859262	3.061745676
403	Painted	2.694814815	2.317186013	3.072443617
404	Painted	2.703580247	2.32449835	3.082662143
405	Painted	2.722962963	2.342264465	3.103661461
406	Painted	2.736049383	2.354509222	3.117589543
407	Painted	2.741481481	2.360702207	3.122260756
408	Painted	2.74037037	2.360430562	3.120310179
409	Painted	2.744320988	2.363908581	3.124733394
410	Painted	2.750864198	2.369902843	3.131825552
411	Painted	2.745308642	2.362973252	3.127644032
412	Painted	2.749074074	2.366391133	3.131757016
413	Painted	2.748518519	2.366087089	3.130949948
414	Painted	2.744814815	2.362700041	3.126929589
415	Painted	2.768641975	2.385390506	3.151893445
416	Painted	2.783888889	2.400295418	3.16748236
417	Painted	2.799753086	2.413620469	3.185885704
418	Painted	2.831111111	2.442188975	3.220033247
419	Painted	2.844320988	2.453671468	3.234970507
420	Painted	2.873950617	2.479177888	3.268723346
421	Painted	2.898148148	2.502190598	3.294105698
422	Painted	2.898148148	2.502859077	3.29343722
423	Painted	2.902839506	2.506634559	3.299044453
424	Painted	2.922098765	2.524979218	3.319218313
425	Painted	2.924259259	2.526967266	3.321551253
426	Painted	2.936049383	2.536990346	3.335108419
427	Painted	2.947530864	2.549162946	3.345898783
428	Painted	2.90654321	2.513002739	3.30008368
429	Painted	2.88	2.490224153	3.269775847
430	Painted	2.87537037	2.486877331	3.26386341
431	Painted	2.867160494	2.479539714	3.254781273
432	Painted	2.875679012	2.486996458	3.264361567
433	Painted	2.902222222	2.510619449	3.293824995
434	Painted	2.919012346	2.526025099	3.311999592
